,run,iter,returns,WIS
0,dqn,40,494.8888888888889,9.862085447610467e-142
1,dqn,80,586.7692307692307,4.3726373594877195e-177
2,dqn,120,842.9702970297029,4.1155966600090356e-159
3,dqn,160,1504.878048780488,7.697113540236485e-143
4,dqn,200,2248.955223880597,2.2749469506979798e-83
5,dqn,240,2276.231884057971,2.2976108852575906e-170
6,dqn,280,2438.805970149254,1.085033152825177e-150
7,dqn,320,1609.6470588235295,1.042460129585118e-149
8,dqn,360,2269.3150684931506,1.2970131580362187e-104
9,dqn,400,1942.469135802469,1.5247937961033094e-84
10,dqn,440,2370.2631578947367,3.9577147325834334e-117
11,dqn,480,2977.313432835821,2.4137540271327685e-132
12,dqn,520,2807.123287671233,1.8353768402410364e-171
13,dqn,560,4411.428571428572,1.813009529880547e-108
14,dqn,600,3817.5862068965516,2.7795598527410606e-157
15,dqn,640,3700.967741935484,2.459499983030825e-176
16,dqn,680,4461.111111111111,2.2837322440676022e-157
17,dqn,720,3114.0298507462685,3.679406291902065e-178
18,dqn,760,3991.0344827586205,1.668222441511298e-157
19,dqn,800,2595.5555555555557,2.0328173174821904e-174
20,dqn,840,1651.5116279069769,8.470167406488108e-158
21,dqn,880,2923.1884057971015,6.691681645507206e-149
22,dqn,920,1246.9565217391305,7.69209847324956e-128
23,dqn,960,1753.452380952381,5.5425537855662855e-173
24,dqn,1000,1673.4883720930231,5.254833381646641e-162
25,dqn,1040,2104.358974358974,3.3205261919543986e-135
26,dqn,1080,1320.8080808080808,3.0274550913870308e-164
27,dqn,1120,1125.625,1.613995218348654e-148
28,dqn,1160,887.2727272727273,6.588740926064105e-158
29,dqn,1200,584.4230769230769,3.1470900133796825e-136
30,dqn,1240,467.82608695652175,7.337402161227229e-105
31,dqn,1280,561.7699115044247,5.135346854539213e-153
32,dqn,1320,506.5648854961832,8.555974315670795e-147
33,dqn,1360,358.5987261146497,7.184679539904605e-164
34,dqn,1400,221.5151515151515,5.816342730502615e-187
