,run,iter,returns,SBV,MSE,EMSBE,improve
0,ddqn_SArch,40,1217.9530201342282,0.06395065784454346,0.014829039573669434,0.07743109429921656,0.8084872788137843
1,ddqn_SArch,80,4792.741935483871,0.04530090466141701,0.04328376054763794,0.08494725899681463,0.49046312901913636
2,ddqn_SArch,120,11595.3125,0.03714276850223541,0.05408897250890732,0.08389085660912807,0.3552459148090048
3,ddqn_SArch,160,13376.315789473685,0.03489946946501732,0.06976103037595749,0.0975835736978718,0.28511502774079167
4,ddqn_SArch,200,10349.122807017544,0.035276949405670166,0.06744616478681564,0.09469399960199473,0.28774616057726543
5,ddqn_SArch,240,10218.64406779661,0.03511634096503258,0.0704997256398201,0.09165581635405054,0.23082103848716085
6,ddqn_SArch,280,11249.107142857143,0.028432505205273628,0.0639415755867958,0.08159621553420944,0.2163659163826278
7,ddqn_SArch,320,10185.384615384615,0.031733687967061996,0.06802164763212204,0.08593413275450339,0.20844435788458737
8,ddqn_SArch,360,7912.962962962963,0.02852153219282627,0.056969787925481796,0.07129711672327792,0.200952429162095
9,ddqn_SArch,400,8227.922077922078,0.025663716718554497,0.056530971080064774,0.06884291261972382,0.17884109011581273
10,ddqn_SArch,440,7520.879120879121,0.02448270283639431,0.05836489796638489,0.06796358578028117,0.1412328043568476
11,ddqn_SArch,480,8106.818181818182,0.0218743197619915,0.05822942033410072,0.06660278537080738,0.12572094380270138
12,ddqn_SArch,520,8685.625,0.022891318425536156,0.06023458018898964,0.06871752757765079,0.12344663272518674
13,ddqn_SArch,560,12103.508771929824,0.022184671834111214,0.06454314291477203,0.07058911788932681,0.08565024121754805
14,ddqn_SArch,600,8195.402298850575,0.02254016511142254,0.06562085449695587,0.07047162980525493,0.0688330229016123
15,ddqn_SArch,640,9114.285714285714,0.02316855825483799,0.06473210453987122,0.06953687147897279,0.06909667974571576
16,ddqn_SArch,680,11349.27536231884,0.023426203057169914,0.06636703014373779,0.06992798486664607,0.05092317088357523
17,ddqn_SArch,720,7634.782608695652,0.02325642667710781,0.0637044683098793,0.06637327189765761,0.04020901051696524
18,ddqn_SArch,760,9736.708860759494,0.02526034787297249,0.0642726719379425,0.06763806485166518,0.049755901815097925
19,ddqn_SArch,800,6863.917525773196,0.025462735444307327,0.06485745310783386,0.06756343488913623,0.04005098002703045
20,ddqn_SArch,840,9518.072289156626,0.02554641105234623,0.06575814634561539,0.06772127684491086,0.02898838578887486
21,ddqn_SArch,880,9219.047619047618,0.029168684035539627,0.07400708645582199,0.07602704845032575,0.026568991374478435
22,ddqn_SArch,920,9253.57142857143,0.028519906103610992,0.0765107199549675,0.07737767489251067,0.011204199903234402
23,ddqn_SArch,960,9946.103896103896,0.03082628920674324,0.078963503241539,0.0791302165204218,0.0021068219728651583
24,ddqn_SArch,1000,9774.050632911392,0.03097614087164402,0.08040108531713486,0.07967344515545853,-0.009132781446271832
25,ddqn_SArch,1040,8225.568181818182,0.03565683960914612,0.08397695422172546,0.08353874321952355,-0.005245602044196218
26,ddqn_SArch,1080,9607.692307692309,0.1478264033794403,0.1823362112045288,0.08419004107335804,-1.165769357989174
27,ddqn_SArch,1120,5583.48623853211,0.12057452648878098,0.16434189677238464,0.08652826106707827,-0.8992857910895014
28,ddqn_SArch,1160,7211.290322580645,0.11970483511686325,0.16065295040607452,0.08550592040748208,-0.8788517758826069
29,ddqn_SArch,1200,6629.381443298969,0.11412182450294495,0.15706664323806763,0.08543145735163073,-0.838510638904248
