,run,iter,returns,WIS
0,dqn,40,7.515151515151516,1.425101976690633e-38
1,dqn,80,4.209606986899563,9.379688511865783e-25
2,dqn,120,10.631970260223047,2.245258912350513e-13
3,dqn,160,15.0625,2.3957650895251082e-31
4,dqn,200,14.283185840707965,5.2435166307133104e-27
5,dqn,240,28.31972789115646,9.867643554088343e-08
6,dqn,280,21.732954545454547,7.397652790485556e-31
7,dqn,320,44.401709401709404,3.356886792826989e-32
8,dqn,360,107.97727272727273,1.8231790960822928e-14
9,dqn,400,24.21818181818182,2.1873636804669893e-26
10,dqn,440,113.50602409638554,1.3754437807872084e-10
11,dqn,480,165.64634146341464,7.035682630054025e-31
12,dqn,520,212.453125,2.6030019342212014e-17
13,dqn,560,152.95652173913044,3.45894550423724e-24
14,dqn,600,168.25974025974025,2.479185485400074e-38
15,dqn,640,181.0,4.750211781638665e-26
16,dqn,680,209.98039215686273,3.880289769030585e-18
17,dqn,720,231.25454545454545,0.09987805109141622
18,dqn,760,234.43478260869566,2.5456497525115915e-13
19,dqn,800,165.12328767123287,3.873978522530906e-27
20,dqn,840,224.14,6.330150594999998e-31
21,dqn,880,205.45901639344262,1.379149469141147e-10
22,dqn,920,198.26785714285714,5.527222004778712e-13
23,dqn,960,212.90697674418604,9.761076858636844e-29
24,dqn,1000,138.38095238095238,2.1629763233730757e-23
25,dqn,1040,205.26315789473685,2.811954481441737e-19
26,dqn,1080,126.38095238095238,9.180762045093535e-22
27,dqn,1120,113.33333333333333,5.2112733861436436e-34
28,dqn,1160,106.30337078651685,5.795920968204346e-15
29,dqn,1200,111.53932584269663,3.6180535225507953e-07
30,dqn,1240,88.91111111111111,1.5387300338622675e-14
31,dqn,1280,31.41860465116279,8.237644063530946e-23
32,dqn,1320,92.53488372093024,3.2670471364703566e-16
33,dqn,1360,58.79120879120879,9.353653547502263e-26
34,dqn,1400,82.9047619047619,2.7549611275009265e-05
35,dqn,1440,16.860696517412936,6.214239018571494e-19
36,dqn,1480,63.333333333333336,1.8945359306636115e-19
37,dqn,1520,43.81147540983606,9.993094237435718e-31
38,dqn,1560,73.75510204081633,5.316554045226502e-16
39,dqn,1600,88.13924050632912,1.6104526251955135e-14
40,dqn,1640,31.637037037037036,6.6113577339817055e-28
41,dqn,1680,48.51219512195122,8.830099074104848e-07
42,dqn,1720,49.7037037037037,3.3431375948186446e-26
43,dqn,1760,5.833333333333333,6.516916056479058e-26
44,dqn,1800,55.40909090909091,1.4778488643750298e-23
45,dqn,1840,31.0,3.4373195116670705e-26
46,dqn,1880,39.270833333333336,2.501604636449266e-26
47,dqn,1920,41.625,1.143959987413831e-22
48,dqn,1960,43.733333333333334,1.1065083389091475e-33
49,dqn,2000,33.42424242424242,4.851269991040892e-15
50,ddqn_SArch,40,2.4292452830188678,1.07251467789918e-24
51,ddqn_SArch,80,2.5578446909667196,5.929291568657485e-16
52,ddqn_SArch,120,2.3066439522998294,1.3731268361682307e-44
53,ddqn_SArch,160,38.41860465116279,3.6883831340235776e-15
54,ddqn_SArch,200,268.04411764705884,1.0896289180260559e-29
55,ddqn_SArch,240,152.28301886792454,5.0660310591474384e-36
56,ddqn_SArch,280,419.925,1.6705910732913537e-18
57,ddqn_SArch,320,376.3703703703704,2.902621217092924e-07
58,ddqn_SArch,360,373.7142857142857,1.0458675417141859e-18
59,ddqn_SArch,400,406.3829787234043,7.315110565675832e-32
60,ddqn_SArch,440,404.7608695652174,6.313461292169997e-22
61,ddqn_SArch,480,457.7567567567568,7.094226446957555e-27
62,ddqn_SArch,520,424.0731707317073,1.139388742606763e-19
63,ddqn_SArch,560,376.5853658536585,2.3034454152952555e-31
64,ddqn_SArch,600,432.0243902439024,1.2458995337196118e-20
65,ddqn_SArch,640,399.8292682926829,8.72470553415586e-30
66,ddqn_SArch,680,405.72,9.190336529652015e-17
67,ddqn_SArch,720,438.05405405405406,2.5203013667734806e-32
68,ddqn_SArch,760,441.1219512195122,7.51452761106273e-18
69,ddqn_SArch,800,424.5,7.193495009998353e-31
70,ddqn_SArch,840,431.625,2.4308379932137565e-21
71,ddqn_SArch,880,267.5147058823529,1.0982289617670898e-28
72,ddqn_SArch,920,413.075,1.8164575050697756e-32
73,ddqn_SArch,960,398.3529411764706,3.248056951050083e-32
74,ddqn_SArch,1000,402.5263157894737,3.6977782068205093e-16
75,ddqn_SArch,1040,355.0816326530612,4.6162651385436326e-11
76,ddqn_SArch,1080,268.3076923076923,4.233654810541599e-19
77,ddqn_SArch,1120,350.46,1.5384830565127599e-15
78,ddqn_SArch,1160,332.7878787878788,2.152174408578953e-23
79,ddqn_SArch,1200,384.1764705882353,5.834237357565175e-29
80,ddqn_SArch,1240,358.7647058823529,1.877444384674919e-16
81,ddqn_SArch,1280,360.9655172413793,1.4703088552078607e-11
82,ddqn_SArch,1320,340.42857142857144,4.033295051340595e-23
83,ddqn_SArch,1360,351.67857142857144,9.455649778327671e-21
84,ddqn_SArch,1400,371.56756756756755,3.66645321455828e-20
85,ddqn_SArch,1440,268.14516129032256,1.691259460907756e-29
86,ddqn_SArch,1480,383.1818181818182,1.0789220254054855e-11
87,ddqn_SArch,1520,350.2368421052632,1.2236492662665091e-13
88,ddqn_SArch,1560,394.2413793103448,7.324775649849021e-24
89,ddqn_SArch,1600,286.5,1.8752462428146788e-20
90,ddqn_SArch,1640,222.01282051282053,8.166045067030339e-23
91,ddqn_SArch,1680,312.1136363636364,2.344005691006139e-25
92,ddqn_SArch,1720,253.921875,9.887161821028933e-16
93,ddqn_SArch,1760,221.47619047619048,4.224115285466657e-09
94,ddqn_SArch,1800,262.6111111111111,3.5613667862363174e-16
95,ddqn_SArch,1840,251.23076923076923,1.762488107908734e-14
96,ddqn_SArch,1880,358.02777777777777,4.396256706110306e-19
97,ddqn_SArch,1920,317.375,1.7806490368491706e-08
98,ddqn_SArch,1960,352.5,7.401663325461889e-31
99,ddqn_SArch,2000,275.46666666666664,6.383717776408524e-16
