,run,iter,returns,WIS
0,dqn,40,-20.92753623188406,-6.464558476330947e-118
1,dqn,80,-20.830188679245282,-7.973554906564285e-111
2,dqn,120,-18.12087912087912,3.1800156802431564e-115
3,dqn,160,-15.818181818181818,-1.4174675054082757e-132
4,dqn,200,-12.277777777777779,-2.3533904078241626e-119
5,dqn,240,-11.244897959183673,-2.8678213632814914e-122
6,dqn,280,-5.15,-5.305215726949755e-131
7,dqn,320,-6.526315789473684,-5.220919997365564e-133
8,dqn,360,-3.6486486486486487,-4.763226086696654e-79
9,dqn,400,-1.7878787878787878,2.115116120961815e-128
10,dqn,440,3.4545454545454546,-2.580678379186131e-95
11,dqn,480,1.0909090909090908,-2.2311916374135758e-131
12,dqn,520,4.96969696969697,-3.886850169510572e-113
13,dqn,560,13.977272727272727,-6.532967244435892e-125
14,dqn,600,6.228571428571429,-7.111270309171803e-116
15,dqn,640,12.977777777777778,-8.08771099625622e-129
16,dqn,680,16.775510204081634,-5.876224302353018e-112
17,dqn,720,10.923076923076923,-1.118066430860945e-112
18,dqn,760,15.78,-4.604415070084758e-126
19,dqn,800,14.782608695652174,-1.500052819989347e-108
20,dqn,840,10.560975609756097,-9.535953201230367e-121
21,dqn,880,11.0,-8.064177779564341e-111
22,dqn,920,14.688888888888888,-9.320949655841634e-111
23,dqn,960,11.23076923076923,2.1183916731314235e-107
24,dqn,1000,11.025,-2.9476087287117637e-122
25,dqn,1040,10.926829268292684,-1.0783232704391415e-115
26,dqn,1080,13.744186046511627,2.1348370238556457e-106
27,dqn,1120,16.54,-7.474987804495677e-94
28,dqn,1160,11.65,-3.0369661364092626e-112
29,dqn,1200,15.541666666666666,-2.3411320947326694e-114
30,dqn,1240,14.717391304347826,-3.865331445214213e-125
31,dqn,1280,13.911111111111111,-1.6189039171142312e-124
32,dqn,1320,12.418604651162791,-9.091194299429438e-121
33,dqn,1360,12.581395348837209,-1.04710476650411e-108
34,dqn,1400,14.543478260869565,-4.8469011557081186e-132
35,dqn,1440,15.702127659574469,-3.936267243941592e-103
36,dqn,1480,11.175,-2.933788129597157e-123
37,dqn,1520,10.666666666666666,-1.6687099438359216e-108
38,dqn,1560,12.581395348837209,-6.708563693404794e-122
39,dqn,1600,10.0,-6.040541216526756e-116
40,dqn,1640,12.357142857142858,-1.6574476024364676e-108
41,dqn,1680,11.976190476190476,-7.80378307833833e-109
42,dqn,1720,12.928571428571429,-2.1667243340687523e-122
43,dqn,1760,15.382978723404255,-2.6096585645312222e-101
44,dqn,1800,14.808510638297872,-8.294261305194354e-124
45,dqn,1840,12.840909090909092,-6.495329462085102e-113
46,dqn,1880,14.0,-6.432169970417588e-102
47,dqn,1920,13.391304347826088,3.280189037447373e-69
48,dqn,1960,12.023255813953488,-9.445958551997126e-128
49,dqn,2000,14.795918367346939,-9.554825978335089e-101
